Gender,Grade,Total,MCQ,Q1,Q2,Q3,Q4,Q5
1.0,1.0,0.6966292134831461,0.625,1.0,0.5,1.0,1.0,0.16666666666666666
0.0,1.0,0.6966292134831461,0.6875,1.0,0.75,0.5714285714285714,1.0,0.3333333333333333
1.0,0.0,0.7865168539325843,0.875,1.0,0.5,0.7857142857142857,0.8,0.3333333333333333
1.0,1.0,0.19101123595505617,0.375,0.0,0.25,0.14285714285714285,0.0,0.0
0.0,1.0,0.7191011235955056,0.8125,1.0,0.0,1.0,0.8,0.0
0.0,1.0,0.6853932584269663,0.625,1.0,0.25,1.0,1.0,0.3333333333333333
0.0,0.0,0.8426966292134831,0.8125,1.0,1.0,1.0,0.8,0.5
0.0,1.0,0.6179775280898877,0.5,1.0,0.25,1.0,1.0,0.3333333333333333
0.0,1.0,0.2808988764044944,0.125,0.5,0.25,1.0,0.4,0.0
1.0,1.0,0.15730337078651688,0.1875,0.25,0.5,0.2857142857142857,0.0,0.0
1.0,1.0,0.7752808988764045,0.8125,1.0,0.5,1.0,0.8,0.16666666666666666
0.0,1.0,0.5280898876404495,0.625,0.5,0.25,1.0,0.2,0.0
0.0,1.0,0.3370786516853933,0.4375,0.0,0.5,0.14285714285714285,0.7000000000000001,0.16666666666666666
0.0,1.0,0.24719101123595508,0.4375,0.5,0.0,0.14285714285714285,0.0,0.0
1.0,0.0,0.449438202247191,0.6875,1.0,0.25,0.14285714285714285,0.0,0.0
1.0,1.0,0.8764044943820225,0.9375,1.0,0.0,1.0,1.0,1.0
0.0,0.0,0.5393258426966292,0.5,0.75,0.25,0.5714285714285714,1.0,0.5
0.0,1.0,0.5393258426966292,0.5625,1.0,0.25,1.0,0.2,0.0
1.0,0.0,0.5617977528089888,0.6875,0.25,0.5,1.0,0.2,0.0
1.0,0.0,0.06741573033707865,0.1875,0.0,0.0,0.14285714285714285,0.0,0.0
0.0,1.0,0.651685393258427,0.5625,0.75,0.25,1.0,1.0,0.6666666666666666
0.0,0.0,0.07865168539325842,0.25,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.22471910112359547,0.4375,0.0,0.25,0.14285714285714285,0.0,0.0
1.0,0.0,0.3146067415730337,0.5,0.5,0.25,0.14285714285714285,0.0,0.16666666666666666
1.0,1.0,0.6853932584269663,0.625,1.0,0.25,1.0,1.0,0.3333333333333333
0.0,0.0,0.4044943820224719,0.5,1.0,0.25,0.5,0.0,0.0
1.0,0.0,0.4831460674157303,0.375,1.0,0.5,0.7857142857142857,0.6000000000000001,0.16666666666666666
1.0,0.0,0.6853932584269663,0.625,0.75,1.0,1.0,0.8,0.0
1.0,0.0,0.5955056179775281,0.625,0.75,0.75,0.8571428571428571,0.4,0.0
1.0,0.0,0.651685393258427,0.625,1.0,0.5,1.0,0.7000000000000001,0.0
1.0,0.0,0.24719101123595508,0.3125,1.0,0.0,0.2857142857142857,0.0,0.0
0.0,0.0,0.6404494382022472,0.5625,0.75,0.75,1.0,0.8,0.16666666666666666
1.0,0.0,0.6292134831460674,0.625,0.75,0.5,1.0,0.7000000000000001,0.0
0.0,0.0,0.6179775280898877,0.5,1.0,0.5,1.0,1.0,0.0
1.0,0.0,0.5056179775280899,0.5625,1.0,0.75,0.14285714285714285,0.7000000000000001,0.0
0.0,0.0,0.4269662921348315,0.4375,1.0,0.25,0.7142857142857142,0.2,0.0
1.0,0.0,0.8426966292134831,0.8125,0.75,1.0,1.0,1.0,0.5
0.0,0.0,0.7303370786516854,0.6875,1.0,0.75,1.0,0.7000000000000001,0.3333333333333333
0.0,0.0,0.651685393258427,0.8125,0.5,0.5,1.0,0.2,0.0
0.0,0.0,0.8764044943820225,0.9375,1.0,0.5,1.0,0.8,0.6666666666666666
1.0,0.0,0.7191011235955056,0.6875,1.0,0.75,1.0,0.8,0.0
1.0,0.0,0.6966292134831461,0.625,0.75,0.75,0.7142857142857142,1.0,0.8333333333333333
